时间,实际质量值
0,211.787
1,211.77
2,211.753
3,211.763
4,211.773
5,211.783
6,211.793
7,211.803
8,211.813
9,211.8244166666667
10,211.8358333333333
11,211.84725
12,211.8586666666667
13,211.8700833333333
14,211.8815
15,211.8929166666667
16,211.9043333333333
17,211.91575
18,211.9271666666667
19,211.9385833333333
20,211.95
21,211.9533333333333
22,211.9566666666666
23,211.96
24,211.9633333333333
25,211.9666666666667
26,211.97
27,211.9733333333333
28,211.9766666666667
29,211.98
30,211.9833333333333
31,211.9866666666667
32,211.99
33,212.0039166666667
34,212.0178333333333
35,212.03175
36,212.0456666666667
37,212.0595833333333
38,212.0735
39,212.0874166666667
40,212.1013333333333
41,212.11525
42,212.1291666666667
43,212.1430833333334
44,212.157
45,212.1536666666667
46,212.1503333333334
47,212.147
48,212.1436666666667
49,212.1403333333333
50,212.137
51,212.1336666666667
52,212.1303333333333
53,212.127
54,212.1236666666667
55,212.1203333333333
56,212.117
57,212.1255833333333
58,212.1341666666667
59,212.14275
60,212.1513333333333
61,212.1599166666667
62,212.1685
63,212.1770833333333
64,212.1856666666667
65,212.19425
66,212.2028333333333
67,212.2114166666667
68,212.22
69,212.2233333333333
70,212.2266666666667
71,212.23
72,212.2333333333333
73,212.2366666666667
74,212.24
75,212.2433333333333
76,212.2466666666667
77,212.25
78,212.2533333333333
79,212.2566666666667
80,212.26
81,212.2575
82,212.255
83,212.2525
84,212.25
85,212.2475
86,212.245
87,212.2425
88,212.24
89,212.2375
90,212.235
91,212.2325
92,212.23
93,212.2405833333333
94,212.2511666666666
95,212.26175
96,212.2723333333333
97,212.2829166666667
98,212.2935
99,212.3040833333333
100,212.3146666666667
101,212.32525
102,212.3358333333333
103,212.3464166666667
104,212.357
105,212.3625
106,212.368
107,212.3735
108,212.379
109,212.3845
110,212.39
111,212.3955
112,212.401
113,212.4065
114,212.412
115,212.4175
116,212.423
117,212.4094166666667
118,212.3958333333333
119,212.38225
120,212.3686666666667
121,212.3550833333333
122,212.3415
123,212.3279166666667
124,212.3143333333333
125,212.30075
126,212.2871666666666
127,212.2735833333333
128,212.26
129,212.2694166666666
130,212.2788333333333
131,212.28825
132,212.2976666666667
133,212.3070833333333
134,212.3165
135,212.3259166666667
136,212.3353333333333
137,212.34475
138,212.3541666666667
139,212.3635833333333
140,212.373
141,212.3808333333333
142,212.3886666666667
143,212.3965
144,212.4043333333333
145,212.4121666666667
146,212.42
147,212.4278333333333
148,212.4356666666667
149,212.4435
150,212.4513333333333
151,212.4591666666667
152,212.467
153,212.4639166666667
154,212.4608333333333
155,212.45775
156,212.4546666666667
157,212.4515833333333
158,212.4485
159,212.4454166666667
160,212.4423333333334
161,212.43925
162,212.4361666666667
163,212.4330833333333
164,212.43
165,212.45275
166,212.4755
167,212.49825
168,212.521
169,212.54375
170,212.5665
171,212.58925
172,212.612
173,212.63475
174,212.6575
175,212.68025
176,212.703
177,212.7119166666667
178,212.7208333333333
179,212.72975
180,212.7386666666667
181,212.7475833333333
182,212.7565
183,212.7654166666667
184,212.7743333333333
185,212.78325
186,212.7921666666667
187,212.8010833333333
188,212.81
189,212.795
190,212.78
191,212.765
192,212.75
193,212.735
194,212.72
195,212.705
196,212.69
197,212.675
198,212.66
199,212.645
200,212.63
