时间,实际质量值
0,211.7866667
2,211.7533333
8,211.8133333
20,211.95
32,211.99
44,212.1566667
56,212.1166667
68,212.22
80,212.26
92,212.23
104,212.3566667
116,212.4233333
128,212.26
140,212.3733333
152,212.4666667
164,212.43
176,212.7033333
188,212.81
200,212.63
