dBLUE,dDVI,dEVI,dGREEN,dLSWI,dNBR,dNBR2,dNBR_,dNDRE1,dNDSI,dNDVI,dNDWI,dNIR,dPEP,dRDFI,dRED,dRED1,dRED2,dRED3,dRED4,dRVI,dSAVI,dSWIR1,dSWIR2,Landcover
-126,2013,1.382029813,92,0.032181346,1.283369118,0.852054505,-1.012274953,0.502590265,0.521360229,0.7154291,-0.501113867,1937.5,-6.483782166,0.412410284,-75.5,334.5,1572,1859,1991,-0.824820569,1.073055862,-77,-855.5,1
-121.5,1808.5,1.372797035,80.5,0.027547664,1.244929508,0.810351401,-0.998060653,0.45487718,0.476409283,0.69972944,-0.464989239,1713,-6.10100683,-0.004926272,-95.5,321.5,1450,1719.5,1859.5,0.009852543,1.049473459,-140.5,-928.5,1
-126,1237,1.348373036,-18.5,0.02947153,1.263957999,0.831042945,-1.011427291,0.504103762,0.494896713,0.6986779,-0.464919213,1094,-6.202313009,0.104977202,-143,84,867,1089.5,1111.5,-0.209954405,1.047810379,-390.5,-908,1
-161.5,1887,1.35037064,1,0.053721078,1.292089897,0.840141574,-1.023929253,0.476399823,0.531159797,0.71200794,-0.522801025,1751,-6.475753381,0.104425366,-136,240,1392.5,1681.5,1742,-0.208850731,1.067911835,-338,-1046.5,1
-114.5,2769,1.422703857,131,0.05266743,1.295010046,0.840461496,-1.047838275,0.528277767,0.504245493,0.69916385,-0.481153099,2720.5,-7.246914702,0.011938358,-48.5,419,2063.5,2577,2765.5,-0.023876717,1.048781652,158,-740.5,1
-132.5,2573,1.519266043,109.5,0.046223111,1.195823181,0.823924949,-0.919262445,0.491046658,0.486559869,0.71379703,-0.470531741,2444,-6.181525851,5.935154255,-129,364,1893,2292,2366.5,-11.87030851,1.070626257,-44,-832,1
-128.5,2225.5,1.386817038,96.5,0.005679959,1.258080781,0.83810815,-0.974707794,0.503139603,0.559244177,0.7103033,-0.523424368,2155.5,-6.666083231,-0.037914284,-70,406.5,1842.5,2133.5,2210.5,0.075828567,1.065381798,-19,-827,1
-103,2163.5,1.493632786,99.5,0.024609846,1.138845913,0.737155469,-0.897317066,0.434278993,0.420437624,0.66255146,-0.40438419,2009,-4.375238869,3.761587377,-154.5,327,1660,1910,2039,-7.523174753,0.993742142,-233.5,-997,1
-80.5,2351.5,1.677747748,89,0.038599522,1.178489277,0.806226824,-0.916062886,0.482058326,0.438032479,0.68802184,-0.419815443,2172.5,-4.141691231,0.256406052,-179,242.5,1684.5,1947,2136,-0.512812104,1.031948076,-286.5,-999.5,1
-109.5,1937.5,1.503173005,58,0.040364954,1.149918936,0.76503384,-0.888057131,0.458118234,0.434568803,0.6686628,-0.426939276,1784.5,-5.181680702,-0.106250911,-153,220.5,1434,1691.5,1787,0.212501821,1.002890194,-266.5,-929,1
-137.5,1769.5,1.35607739,63.5,6.16E-04,1.128121797,0.743488508,-0.870274748,0.423598855,0.480984998,0.6661443,-0.451937633,1637,-5.593256096,0.005586826,-132.5,312,1430.5,1623,1734.5,-0.011173651,0.999077267,-164.5,-959.5,1
-124,1836.5,1.445557814,59,0.011934763,1.118155676,0.740533185,-0.854517291,0.459450208,0.492074136,0.6797136,-0.469713735,1707.5,-5.701469684,0.04604018,-129,285,1469,1700,1855.5,-0.092080359,1.019442861,-66,-825.5,1
-121,1818.5,1.471466835,56,-0.002322586,1.196608321,0.795389504,-0.938639497,0.461598923,0.489122706,0.67865866,-0.445841381,1672,-5.167388614,0.413303079,-146.5,260.5,1403.5,1609,1699,-0.826606158,1.017866851,-285,-1002,1
-115,1706.5,1.412887898,51,0.049454191,1.235204927,0.815161523,-0.955698247,0.466900375,0.476522567,0.68107927,-0.472512271,1594.5,-5.989347591,-0.006135398,-112,210,1254.5,1495.5,1549,0.012270795,1.02149439,-284,-969,1
-139,1173,1.316299456,-26,0.00762906,1.130269201,0.71845844,-0.901476852,0.438425918,0.453008102,0.650252,-0.428272175,994,-5.416305321,0.315591605,-179,78.5,856.5,1012,1052.5,-0.631183209,0.975148943,-405.5,-1087.5,1
-142.5,1589,1.322636726,33.5,0.00346325,1.12929977,0.730019922,-0.875706338,0.429128387,0.472153997,0.66041195,-0.440387038,1438,-5.268358991,0.119768574,-151,231.5,1225,1379,1497,-0.239537148,0.990464257,-244,-990,1
-117.5,1582,1.303580186,60,0.013208656,1.161926894,0.749424877,-0.895054803,0.424386179,0.479047475,0.65719444,-0.459069834,1479.5,-5.144767569,-0.039796925,-102.5,280.5,1268.5,1444,1519,0.07959385,0.985654625,-190,-900,1
-131,1499.5,1.301177338,34.5,0.030470329,1.150962857,0.731092995,-0.889973443,0.428175618,0.453523685,0.65710175,-0.441495335,1373,-5.409151101,0.253888618,-126.5,194.5,1121.5,1286,1354,-0.507777236,0.985496233,-284,-990,1
-162.5,1346,1.37566612,-7,0.02771418,1.193152805,0.778348164,-0.909106736,0.458673305,0.518333634,0.7083331,-0.498056882,1186,-6.535927496,0.119476823,-160,140.5,955,1132,1167.5,-0.238953646,1.062265972,-290.5,-1016,1
-103.5,1563.5,1.480149581,54.5,0.034187572,1.189819092,0.766124452,-0.930915173,0.449924924,0.474183449,0.67300963,-0.459144537,1444,-5.799755489,0.086911063,-119.5,209,1138.5,1356,1434.5,-0.173822126,1.009364122,-215,-1006.5,1
-102.5,1774.5,1.425535918,68,0.011661076,1.174193714,0.7880663,-0.926736727,0.476188861,0.445052916,0.64524424,-0.416308953,1653.5,-5.684560533,0.244843903,-121,200,1377.5,1644.5,1739.5,-0.489687806,0.967776535,-258.5,-905.5,1
-188,1164.5,1.23287731,-78,0.008312038,1.202423774,0.727734742,-0.964546481,0.484504844,0.552622128,0.6886396,-0.505665331,967.5,-7.896035349,0.257753015,-197,32.5,786,1060,1070.5,-0.51550603,1.032706126,-568,-1275,1
-276,2289,1.378730473,-96,0.066277247,1.153489105,0.770127917,-0.84653524,0.489277003,0.504053241,0.6797385,-0.500825564,1974.5,-6.792040505,1.726828838,-314.5,42,1446,1881,1897.5,-3.453657675,1.019489981,-622,-1534,1
-283,3193.5,1.682533277,-91.5,0.049385011,1.210004332,0.818872295,-0.938057758,0.500701221,0.524535104,0.7251087,-0.50544749,2776,-6.669313459,2.361607794,-417.5,160,2119.5,2710,2853.5,-4.723215588,1.087571206,-709.5,-1964,1
-163.5,2272.5,1.492818578,6,0.046468235,1.153681717,0.766305529,-0.881890897,0.463770142,0.467817291,0.66622674,-0.454284264,2054.5,-5.721130716,0.014006751,-218,195,1587,1944.5,2056.5,-0.028013502,0.999253094,-373,-1228,1
-171.5,1197.5,1.393470401,-74,0.054068265,1.236355945,0.828525269,-0.971294453,0.487929146,0.514635202,0.71391326,-0.494703341,987.5,-7.398533258,-0.03205671,-210,7.5,730,974,1025.5,0.06411342,1.070606901,-526.5,-1078.5,1
-117,1997.5,1.441828478,68.5,0.040818297,1.244021853,0.829424956,-0.978186246,0.490069542,0.472126269,0.68028134,-0.465661743,1886,-5.915657728,0.578155161,-111.5,270,1551,1851,1966.5,-1.156310323,1.020354814,-196.5,-926,1
-155,1400,1.306628899,-6,0.009962432,1.203410321,0.792414407,-0.938074363,0.485192341,0.483598104,0.68744475,-0.446523502,1231,-4.691479438,0.411491336,-169,105,1014.5,1098.5,1244,-0.822982673,1.030986881,-405.5,-925,1
-150.5,1871,1.236664464,33,0.04838296,1.229306391,0.819318968,-0.937054541,0.451910092,0.525407437,0.6657622,-0.509421225,1771,-6.771639258,0.139189237,-100,242.5,1348.5,1641,1705,-0.278378473,0.998548681,-192,-1016.5,1
-144,2091.5,1.670634261,8,0.055915142,1.296311992,0.820957298,-1.028586511,0.558883071,0.562697704,0.7632943,-0.538480385,1919,-7.163941059,0.794728668,-172.5,160.5,1426,1768,1979.5,-1.589457336,1.144801422,-325,-1092,1
-178,1791.5,1.429554393,-36,0.030651778,1.242184903,0.796263204,-0.98426713,0.508662058,0.541754571,0.72056717,-0.508306731,1586.5,-5.977967795,5.002190294,-205,129.5,1236.5,1498,1686,-10.00438059,1.080680223,-472.5,-1294,1
