中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
1372,"15-9月 -21 12.00.00.000000000 上午",0,"8.5900000000000006E+001",1001,8832,1867,0,21543,12071,"1.0199999999999999E+001",0
2056,"15-7月 -21 12.00.00.000000000 上午",0,"9.3099999999999994E+001",1001,16036,2610,0,21426,20702,"1.1800000000000001E+001",0
905,"05-9月 -21 12.00.00.000000000 上午",0,"7.8900000000000006E+001",1001,6501,1451,0,21533,8857,"1.31E+001",0
2831,"23-8月 -21 12.00.00.000000000 上午",0,"9.6299999999999997E+001",1001,19369,4354,0,21508,26554,"1.4199999999999999E+001",0
2052,"16-10月-21 12.00.00.000000000 上午",0,"9.8099999999999994E+001",1001,16100,2918,0,21590,21070,"1.06E+001",0
1168,"23-9月 -21 12.00.00.000000000 上午",0,"8.65E+001",1001,8104,1470,0,21551,10742,"1.0800000000000001E+001",0
1742,"23-7月 -21 12.00.00.000000000 上午",0,"9.1400000000000006E+001",1001,12855,1942,0,21445,16539,"1.0E+001",0
3321,"13-9月 -21 12.00.00.000000000 上午",0,"8.4099999999999994E+001",1001,19223,5028,0,21541,27572,"1.9699999999999999E+001",0
3798,"24-10月-21 12.00.00.000000000 上午",0,"8.4299999999999997E+001",1001,23932,5964,0,21598,33694,"2.1199999999999999E+001",0
968,"31-8月 -21 12.00.00.000000000 上午",0,"8.0799999999999997E+001",1001,6807,1319,0,21528,9094,"1.1300000000000001E+001",0
1376,"31-7月 -21 12.00.00.000000000 上午",0,"9.5299999999999997E+001",1001,10344,1599,0,21465,13319,"8.3000000000000007E+000",0
1444,"01-10月-21 12.00.00.000000000 上午",0,"8.2799999999999997E+001",1001,8910,1868,0,21566,12222,"1.2E+001",0
946,"21-9月 -21 12.00.00.000000000 上午",0,"8.3299999999999997E+001",1001,7052,1210,0,21549,9208,"8.8000000000000007E+000",0
3076,"09-10月-21 12.00.00.000000000 上午",0,"8.3400000000000006E+001",1001,19019,5471,0,21583,27566,"2.0199999999999999E+001",0
2717,"29-9月 -21 12.00.00.000000000 上午",0,"8.95E+001",1001,17449,3984,0,21564,24150,"1.54E+001",0
2479,"17-10月-21 12.00.00.000000000 上午",0,"1.01E+002",1001,19500,3488,0,21591,25467,"1.2E+001",0
