lon,lat,name,county,gpm,datetime
101.3275,25.7233,56761,大姚县,0.11000000685453415,2015-01-01
101.2108,25.6478,T9141,大姚县,0.11800000816583633,2015-01-01
100.9525,26.1172,T9128,大姚县,0.08900000154972076,2015-01-01
101.5392,25.6697,T9143,大姚县,0.11300000548362732,2015-01-01
101.4419,25.6414,T9434,大姚县,0.403999999165535,2015-01-01
101.5975,25.6139,T9431,大姚县,0.11300000548362732,2015-01-01
101.1903,25.5797,T9202,姚安县,0.125,2015-01-01
101.3739,25.5247,T9206,姚安县,0.12400000542402267,2015-01-01
101.015,25.4572,T9207,姚安县,0.13500000536441803,2015-01-01
101.2425,25.3842,T9210,姚安县,0.9299999885261059,2015-01-01
101.1525,25.4578,T9503,姚安县,0.1340000033378601,2015-01-01
101.1003,25.555,T9501,姚安县,0.125,2015-01-01
101.1794,25.5,T9204,姚安县,0.1340000033378601,2015-01-01
101.0653,25.6411,T9201,姚安县,0.11800000816583633,2015-01-01
101.1494,25.4044,T9209,姚安县,0.14100000262260437,2015-01-01
101.2606,25.49,T9502,姚安县,0.8819999918341637,2015-01-01
101.2389,25.5211,56764,姚安县,0.125,2015-01-01
101.2489,25.5667,T9504,姚安县,0.12400000542402267,2015-01-01
101.4983,25.5683,T9203,姚安县,0.6429999880492687,2015-01-01
101.0464,25.0011,T9309,楚雄市,0.1680000126361847,2015-01-01
101.5625,25.0319,T9601,楚雄市,0.734999991953373,2015-01-01
101.4939,24.9408,T9306,楚雄市,0.18600001372396946,2015-01-01
101.3803,24.8061,T9313,楚雄市,0.5979999881237745,2015-01-01
101.6133,25.0631,T9593,楚雄市,0.7939999848604202,2015-01-01
101.5053,25.0756,T9303,楚雄市,0.6939999982714653,2015-01-01
101.4522,25.1781,T9320,楚雄市,0.6939999982714653,2015-01-01
101.4922,25.1817,T9600,楚雄市,0.6939999982714653,2015-01-01
101.5056,25.0672,T9633,楚雄市,0.6939999982714653,2015-01-01
101.5681,25.1169,T9599,楚雄市,0.31300000846385956,2015-01-01
101.5156,25.0819,T9598,楚雄市,0.31300000846385956,2015-01-01
101.0964,24.9056,T9310,楚雄市,0.17900000512599945,2015-01-01
100.9536,24.8678,T9311,楚雄市,0.19100001454353333,2015-01-01
101.0164,24.9169,T9595,楚雄市,0.17600001394748688,2015-01-01
101.3903,25.1503,T9301,楚雄市,0.2840000130236149,2015-01-01
101.3806,25.1889,T9611,楚雄市,0.2840000130236149,2015-01-01
101.3747,24.7089,T9631,楚雄市,0.3020000010728836,2015-01-01
101.3606,24.6936,T9316,楚雄市,0.3560000043362379,2015-01-01
101.1569,24.8831,T9312,楚雄市,0.2410000041127205,2015-01-01
101.5922,24.8667,T9307,楚雄市,0.7269999925047159,2015-01-01
101.5817,24.9344,T9591,楚雄市,0.19200000539422035,2015-01-01
101.2239,24.6811,T9315,楚雄市,0.8159999996423721,2015-01-01
101.2258,24.6819,T9321,楚雄市,0.8159999996423721,2015-01-01
100.9225,25.0003,T9308,楚雄市,0.23100000247359276,2015-01-01
101.3619,25.0392,T9604,楚雄市,0.6650000065565109,2015-01-01
101.4575,25.0856,T9302,楚雄市,0.6939999982714653,2015-01-01
101.4264,25.0636,T9603,楚雄市,0.6939999982714653,2015-01-01
101.6808,25.0592,T9319,楚雄市,1.800999939441681,2015-01-01
101.6517,25.1169,T9597,楚雄市,0.7939999848604202,2015-01-01
101.0703,24.67,T9314,楚雄市,0.8159999996423721,2015-01-01
101.5394,25.0431,T9304,楚雄市,0.734999991953373,2015-01-01
101.5647,25.0225,T9592,楚雄市,0.734999991953373,2015-01-01
101.6033,25.0197,T9305,楚雄市,1.800999939441681,2015-01-01
101.7281,24.8447,T9318,楚雄市,0.17900000512599945,2015-01-01
101.5542,25.0344,56768,楚雄市,0.734999991953373,2015-01-01
102.1747,26.0,T9177,武定县,0.08400000631809235,2015-01-01
102.0831,25.9039,T9178,武定县,0.09100000560283661,2015-01-01
102.075,25.9761,T9191,武定县,0.11500000022351742,2015-01-01
102.2511,25.8814,T9491,武定县,0.1290000006556511,2015-01-01
102.2861,25.8836,T9180,武定县,0.1290000006556511,2015-01-01
102.2686,25.9981,T9488,武定县,0.125,2015-01-01
102.2633,26.1028,T9176,武定县,0.125,2015-01-01
102.1881,26.0761,T9487,武定县,0.08400000631809235,2015-01-01
102.3139,25.7981,T9182,武定县,0.11600000038743019,2015-01-01
102.2328,25.7042,T9493,武定县,0.22999999672174454,2015-01-01
102.2889,25.6522,T9186,武定县,0.10600000619888306,2015-01-01
102.3044,25.5083,T9189,武定县,0.11800000816583633,2015-01-01
102.3492,25.4067,T5017,武定县,0.1210000067949295,2015-01-01
102.3364,25.4375,T9486,武定县,0.11600000411272049,2015-01-01
102.4217,25.5036,56774,武定县,0.1120000034570694,2015-01-01
102.1931,25.5064,T9188,武定县,0.41099998727440834,2015-01-01
102.1644,25.4178,T9190,武定县,0.1290000081062317,2015-01-01
102.1475,25.4178,T9495,武定县,0.1290000081062317,2015-01-01
101.9861,25.8694,T9179,武定县,0.09600000083446503,2015-01-01
