lon,lat,name,county,gpm,datetime
101.9222,25.7039,T9154,元谋县,1.7740000244230032,2018-01-01
101.8717,25.7225,56763,元谋县,1.7740000244230032,2018-01-01
101.8869,25.7436,T9456,元谋县,1.7740000244230032,2018-01-01
101.8619,25.7044,T9457,元谋县,0.7919999621808529,2018-01-01
101.9622,25.7042,T9159,元谋县,2.3540000542998314,2018-01-01
101.9717,25.7069,T9160,元谋县,2.3540000542998314,2018-01-01
101.9222,26.0764,T9151,元谋县,0.6129999756813049,2018-01-01
101.7881,25.7558,T9156,元谋县,0.7919999621808529,2018-01-01
101.7944,25.6922,T9473,元谋县,0.7919999621808529,2018-01-01
101.7433,25.7689,T9474,元谋县,1.1299999728798866,2018-01-01
101.6647,25.7069,T9463,元谋县,1.2009999882429838,2018-01-01
101.7111,25.6789,T9461,元谋县,1.1969999745488167,2018-01-01
101.6811,25.6978,T9459,元谋县,1.2009999882429838,2018-01-01
101.6667,25.7153,T9157,元谋县,1.2009999882429838,2018-01-01
101.8756,25.9572,T9163,元谋县,0.41099999472498894,2018-01-01
101.8811,25.9567,T9152,元谋县,0.41099999472498894,2018-01-01
101.7494,25.8528,T9153,元谋县,0.5809999983757734,2018-01-01
101.7861,25.9681,T9475,元谋县,0.309000002220273,2018-01-01
101.9364,25.4981,T9162,元谋县,0.534000001847744,2018-01-01
101.8964,25.6119,T9161,元谋县,1.1749999765306711,2018-01-01
101.8664,25.6022,T9466,元谋县,1.6329999975860119,2018-01-01
101.9233,25.575,T9472,元谋县,1.0369999706745148,2018-01-01
101.8281,25.6339,T9467,元谋县,1.6329999975860119,2018-01-01
101.8597,25.8164,T9155,元谋县,0.40499998442828655,2018-01-01
101.8883,25.8614,T9458,元谋县,0.9299999885261059,2018-01-01
101.8936,25.7767,T9460,元谋县,1.7740000244230032,2018-01-01
100.8422,25.19,T9573,南华县,0.11599999852478504,2018-01-01
100.9581,25.1233,T9571,南华县,0.3039999958127737,2018-01-01
100.9622,25.1172,T9279,南华县,0.3039999958127737,2018-01-01
100.9211,25.2361,T9574,南华县,0.3039999958127737,2018-01-01
101.0064,25.1544,T9280,南华县,0.11400000005960464,2018-01-01
100.9886,25.2353,T9632,南华县,0.11400000005960464,2018-01-01
100.8036,24.9744,T9285,南华县,0.4189999848604202,2018-01-01
100.8047,24.7794,T9287,南华县,0.2629999965429306,2018-01-01
101.1433,25.2417,T9276,南华县,0.454999977722764,2018-01-01
101.144,25.242,T9634,南华县,0.454999977722764,2018-01-01
101.1431,25.2417,T9277,南华县,0.454999977722764,2018-01-01
101.0825,25.24,T9572,南华县,0.454999977722764,2018-01-01
100.8233,25.0364,T9284,南华县,0.4189999848604202,2018-01-01
100.7656,25.1081,T9282,南华县,0.05700000002980232,2018-01-01
101.285,25.0881,T9283,南华县,0.1879999991506338,2018-01-01
100.8519,24.8875,T9286,南华县,0.6009999923408031,2018-01-01
101.27,25.3108,T9278,南华县,0.15399999916553497,2018-01-01
101.2192,25.1781,T9281,南华县,0.454999977722764,2018-01-01
101.2617,25.2078,56767,南华县,0.1879999991506338,2018-01-01
101.9744,24.865,T9342,双柏县,0.2239999957382679,2018-01-01
101.9353,24.8008,T9327,双柏县,0.40699999406933784,2018-01-01
101.8528,24.8453,T9343,双柏县,0.8199999742209911,2018-01-01
101.8308,24.7592,T9328,双柏县,1.678999949246645,2018-01-01
101.7494,24.7239,T9344,双柏县,1.858999952673912,2018-01-01
101.7022,24.4003,T9355,双柏县,0.5879999753087759,2018-01-01
101.9297,24.3125,T9353,双柏县,0.3549999948590994,2018-01-01
101.7797,24.4686,T9354,双柏县,1.9669999666512012,2018-01-01
101.8556,24.3886,T9371,双柏县,0.814999982714653,2018-01-01
101.7772,24.3039,T9336,双柏县,1.4509999845176935,2018-01-01
101.6575,24.7256,T9340,双柏县,0.9370000027120113,2018-01-01
101.6236,24.6614,T9337,双柏县,2.125999955460429,2018-01-01
101.5072,24.6681,T9329,双柏县,1.4479999765753746,2018-01-01
101.6206,24.7756,T9339,双柏县,0.9370000027120113,2018-01-01
101.6325,24.6883,56862,双柏县,2.125999955460429,2018-01-01
101.57,24.7689,T9326,双柏县,1.2259999737143517,2018-01-01
101.7203,24.7414,T9341,双柏县,1.858999952673912,2018-01-01
101.9183,24.3744,T9352,双柏县,0.582999998703599,2018-01-01
101.9572,24.4156,T9335,双柏县,0.582999998703599,2018-01-01
101.7561,24.5875,T9349,双柏县,2.2089999578893185,2018-01-01
101.89,24.5339,T9348,双柏县,1.8259999603033066,2018-01-01
101.8322,24.5769,T9330,双柏县,2.9109999034553766,2018-01-01
101.8058,24.5444,T9345,双柏县,2.9109999034553766,2018-01-01
101.7381,24.5675,T9346,双柏县,2.2089999578893185,2018-01-01
101.5581,24.3056,T9332,双柏县,0.7909999769181013,2018-01-01
101.5633,24.4931,T9333,双柏县,1.6899999491870403,2018-01-01
101.5603,24.4928,T9382,双柏县,1.6899999491870403,2018-01-01
101.4636,24.5519,T9381,双柏县,1.397999970242381,2018-01-01
101.4708,24.5572,T9331,双柏县,1.397999970242381,2018-01-01
101.4331,24.5431,T9380,双柏县,1.397999970242381,2018-01-01
101.2953,24.4072,T9376,双柏县,0.9859999939799309,2018-01-01
101.1942,24.4494,T9378,双柏县,0.2199999988079071,2018-01-01
101.3356,24.3389,T9377,双柏县,2.8349998742341995,2018-01-01
101.2389,24.4547,T9334,双柏县,0.2199999988079071,2018-01-01
101.1458,24.5453,T9374,双柏县,0.13500000163912773,2018-01-01
101.085,26.1317,T9129,大姚县,0.020000001415610313,2018-01-01
101.0789,26.0128,T9131,大姚县,0.020000001415610313,2018-01-01
101.0,25.8878,T9134,大姚县,0.021000001579523087,2018-01-01
101.3475,25.9119,T9133,大姚县,0.024000000208616257,2018-01-01
101.3472,25.9119,T9144,大姚县,0.024000000208616257,2018-01-01
101.2381,25.8758,T9432,大姚县,0.021000001579523087,2018-01-01
101.2536,25.8078,T9137,大姚县,0.023000001907348633,2018-01-01
101.2258,25.9544,T9132,大姚县,0.021000001579523087,2018-01-01
101.2836,26.0875,T9130,大姚县,0.03100000135600567,2018-01-01
101.1933,26.3561,T9126,大姚县,0.044999999925494194,2018-01-01
101.0378,25.7914,T9136,大姚县,0.021000001579523087,2018-01-01
101.0994,25.8503,T9135,大姚县,0.052000001072883606,2018-01-01
101.5561,25.7836,T9139,大姚县,0.24899999983608723,2018-01-01
101.4911,25.8203,T9138,大姚县,0.03100000135600567,2018-01-01
101.4183,25.7878,T9433,大姚县,0.027000000700354576,2018-01-01
101.2758,25.6828,T9142,大姚县,0.03500000014901161,2018-01-01
101.3275,25.7233,56761,大姚县,0.03500000014901161,2018-01-01
101.2108,25.6478,T9141,大姚县,0.02500000037252903,2018-01-01
100.9525,26.1172,T9128,大姚县,0.01900000125169754,2018-01-01
101.5392,25.6697,T9143,大姚县,0.3179999962449074,2018-01-01
101.4419,25.6414,T9434,大姚县,0.4699999876320362,2018-01-01
101.5975,25.6139,T9431,大姚县,0.3179999962449074,2018-01-01
101.1903,25.5797,T9202,姚安县,0.02800000086426735,2018-01-01
101.3739,25.5247,T9206,姚安县,1.9589999914169312,2018-01-01
101.015,25.4572,T9207,姚安县,0.3179999925196171,2018-01-01
101.2425,25.3842,T9210,姚安县,0.7229999750852585,2018-01-01
101.1525,25.4578,T9503,姚安县,0.19900000281631947,2018-01-01
101.1003,25.555,T9501,姚安县,0.02800000086426735,2018-01-01
101.1794,25.5,T9204,姚安县,0.19900000281631947,2018-01-01
101.0653,25.6411,T9201,姚安县,0.02500000037252903,2018-01-01
101.1494,25.4044,T9209,姚安县,0.15999999456107616,2018-01-01
101.2606,25.49,T9502,姚安县,0.04000000096857548,2018-01-01
101.2389,25.5211,56764,姚安县,0.02800000086426735,2018-01-01
101.2489,25.5667,T9504,姚安县,0.23699999414384365,2018-01-01
101.4983,25.5683,T9203,姚安县,0.1699999962002039,2018-01-01
101.0464,25.0011,T9309,楚雄市,0.30799999088048935,2018-01-01
101.5625,25.0319,T9601,楚雄市,0.665999997407198,2018-01-01
101.4939,24.9408,T9306,楚雄市,0.6249999888241291,2018-01-01
101.3803,24.8061,T9313,楚雄市,0.3839999958872795,2018-01-01
101.6133,25.0631,T9593,楚雄市,0.1999999936670065,2018-01-01
101.5053,25.0756,T9303,楚雄市,0.6029999852180481,2018-01-01
101.4522,25.1781,T9320,楚雄市,0.6029999852180481,2018-01-01
101.4922,25.1817,T9600,楚雄市,0.6029999852180481,2018-01-01
