lon,lat,name,county,gpm,datetime
101.9222,25.7039,T9154,元谋县,0.021000001579523087,2017-01-01
101.8717,25.7225,56763,元谋县,0.021000001579523087,2017-01-01
101.8869,25.7436,T9456,元谋县,0.021000001579523087,2017-01-01
101.8619,25.7044,T9457,元谋县,0.023000001907348633,2017-01-01
101.9622,25.7042,T9159,元谋县,0.021000001579523087,2017-01-01
101.9717,25.7069,T9160,元谋县,0.021000001579523087,2017-01-01
101.9222,26.0764,T9151,元谋县,0.01600000075995922,2017-01-01
101.7881,25.7558,T9156,元谋县,0.023000001907348633,2017-01-01
101.7944,25.6922,T9473,元谋县,0.023000001907348633,2017-01-01
101.7433,25.7689,T9474,元谋县,0.024000000208616257,2017-01-01
101.6647,25.7069,T9463,元谋县,0.023000001907348633,2017-01-01
101.7111,25.6789,T9461,元谋县,0.02500000037252903,2017-01-01
101.6811,25.6978,T9459,元谋县,0.023000001907348633,2017-01-01
101.6667,25.7153,T9157,元谋县,0.023000001907348633,2017-01-01
101.8756,25.9572,T9163,元谋县,0.018000001087784767,2017-01-01
101.8811,25.9567,T9152,元谋县,0.018000001087784767,2017-01-01
101.7494,25.8528,T9153,元谋县,0.021000001579523087,2017-01-01
101.7861,25.9681,T9475,元谋县,0.01600000075995922,2017-01-01
101.9364,25.4981,T9162,元谋县,0.026000000536441803,2017-01-01
101.8964,25.6119,T9161,元谋县,0.023000001907348633,2017-01-01
101.8664,25.6022,T9466,元谋县,0.024000000208616257,2017-01-01
101.9233,25.575,T9472,元谋县,0.026000000536441803,2017-01-01
101.8281,25.6339,T9467,元谋县,0.024000000208616257,2017-01-01
101.8597,25.8164,T9155,元谋县,0.02200000174343586,2017-01-01
101.8883,25.8614,T9458,元谋县,0.020000001415610313,2017-01-01
101.8936,25.7767,T9460,元谋县,0.021000001579523087,2017-01-01
100.8422,25.19,T9573,南华县,0.03200000151991844,2017-01-01
100.9581,25.1233,T9571,南华县,0.032999999821186066,2017-01-01
100.9622,25.1172,T9279,南华县,0.032999999821186066,2017-01-01
100.9211,25.2361,T9574,南华县,0.032999999821186066,2017-01-01
101.0064,25.1544,T9280,南华县,0.032999999821186066,2017-01-01
100.9886,25.2353,T9632,南华县,0.032999999821186066,2017-01-01
100.8036,24.9744,T9285,南华县,0.036000002175569534,2017-01-01
100.8047,24.7794,T9287,南华县,0.04800000041723251,2017-01-01
101.1433,25.2417,T9276,南华县,0.03500000014901161,2017-01-01
101.144,25.242,T9634,南华县,0.03500000014901161,2017-01-01
101.1431,25.2417,T9277,南华县,0.03500000014901161,2017-01-01
101.0825,25.24,T9572,南华县,0.03500000014901161,2017-01-01
100.8233,25.0364,T9284,南华县,0.036000002175569534,2017-01-01
100.7656,25.1081,T9282,南华县,0.03200000151991844,2017-01-01
101.285,25.0881,T9283,南华县,0.036000002175569534,2017-01-01
100.8519,24.8875,T9286,南华县,0.039000000804662704,2017-01-01
101.27,25.3108,T9278,南华县,0.032999999821186066,2017-01-01
101.2192,25.1781,T9281,南华县,0.03500000014901161,2017-01-01
101.2617,25.2078,56767,南华县,0.036000002175569534,2017-01-01
101.9744,24.865,T9342,双柏县,0.04200000315904617,2017-01-01
101.9353,24.8008,T9327,双柏县,0.04200000315904617,2017-01-01
101.8528,24.8453,T9343,双柏县,0.0430000014603138,2017-01-01
101.8308,24.7592,T9328,双柏县,0.04800000041723251,2017-01-01
101.7494,24.7239,T9344,双柏县,0.05100000277161598,2017-01-01
101.7022,24.4003,T9355,双柏县,0.06700000166893005,2017-01-01
101.9297,24.3125,T9353,双柏县,0.06400000303983688,2017-01-01
101.7797,24.4686,T9354,双柏县,0.06200000271201134,2017-01-01
101.8556,24.3886,T9371,双柏县,0.06200000271201134,2017-01-01
101.7772,24.3039,T9336,双柏县,0.07300000637769699,2017-01-01
101.6575,24.7256,T9340,双柏县,0.05100000277161598,2017-01-01
101.6236,24.6614,T9337,双柏县,0.06000000238418579,2017-01-01
101.5072,24.6681,T9329,双柏县,0.058000002056360245,2017-01-01
101.6206,24.7756,T9339,双柏县,0.05100000277161598,2017-01-01
101.6325,24.6883,56862,双柏县,0.06000000238418579,2017-01-01
101.57,24.7689,T9326,双柏县,0.05100000277161598,2017-01-01
101.7203,24.7414,T9341,双柏县,0.05100000277161598,2017-01-01
101.9183,24.3744,T9352,双柏县,0.06000000238418579,2017-01-01
101.9572,24.4156,T9335,双柏县,0.06000000238418579,2017-01-01
101.7561,24.5875,T9349,双柏县,0.06400000303983688,2017-01-01
