lon,lat,name,county,gpm,datetime
101.9222,25.7039,T9154,元谋县,0.052000001072883606,2020-01-01
101.8717,25.7225,56763,元谋县,0.052000001072883606,2020-01-01
101.8869,25.7436,T9456,元谋县,0.052000001072883606,2020-01-01
101.8619,25.7044,T9457,元谋县,0.10900000110268593,2020-01-01
101.9622,25.7042,T9159,元谋县,0.05400000140070915,2020-01-01
101.9717,25.7069,T9160,元谋县,0.05400000140070915,2020-01-01
101.9222,26.0764,T9151,元谋县,0.04800000041723251,2020-01-01
101.7881,25.7558,T9156,元谋县,0.10900000110268593,2020-01-01
101.7944,25.6922,T9473,元谋县,0.10900000110268593,2020-01-01
101.7433,25.7689,T9474,元谋县,0.19599999487400055,2020-01-01
101.6647,25.7069,T9463,元谋县,0.046000003814697266,2020-01-01
101.7111,25.6789,T9461,元谋县,0.2279999926686287,2020-01-01
101.6811,25.6978,T9459,元谋县,0.046000003814697266,2020-01-01
101.6667,25.7153,T9157,元谋县,0.046000003814697266,2020-01-01
101.8756,25.9572,T9163,元谋县,0.049000002443790436,2020-01-01
101.8811,25.9567,T9152,元谋县,0.049000002443790436,2020-01-01
101.7494,25.8528,T9153,元谋县,0.04700000211596489,2020-01-01
101.7861,25.9681,T9475,元谋县,0.04800000041723251,2020-01-01
101.9364,25.4981,T9162,元谋县,0.06000000238418579,2020-01-01
101.8964,25.6119,T9161,元谋县,0.055000003427267075,2020-01-01
101.8664,25.6022,T9466,元谋县,0.0800000000745058,2020-01-01
101.9233,25.575,T9472,元谋县,0.05300000309944153,2020-01-01
101.8281,25.6339,T9467,元谋县,0.0800000000745058,2020-01-01
101.8597,25.8164,T9155,元谋县,0.04800000041723251,2020-01-01
101.8883,25.8614,T9458,元谋县,0.05000000074505806,2020-01-01
101.8936,25.7767,T9460,元谋县,0.052000001072883606,2020-01-01
100.8422,25.19,T9573,南华县,0.9230000078678131,2020-01-01
100.9581,25.1233,T9571,南华县,0.49799998849630356,2020-01-01
100.9622,25.1172,T9279,南华县,0.49799998849630356,2020-01-01
100.9211,25.2361,T9574,南华县,0.49799998849630356,2020-01-01
101.0064,25.1544,T9280,南华县,0.07400000095367432,2020-01-01
100.9886,25.2353,T9632,南华县,0.07400000095367432,2020-01-01
100.8036,24.9744,T9285,南华县,0.0820000022649765,2020-01-01
100.8047,24.7794,T9287,南华县,0.25599999725818634,2020-01-01
101.1433,25.2417,T9276,南华县,0.07100000232458115,2020-01-01
101.144,25.242,T9634,南华县,0.07100000232458115,2020-01-01
101.1431,25.2417,T9277,南华县,0.07100000232458115,2020-01-01
101.0825,25.24,T9572,南华县,0.07100000232458115,2020-01-01
100.8233,25.0364,T9284,南华县,0.0820000022649765,2020-01-01
100.7656,25.1081,T9282,南华县,0.08700000494718552,2020-01-01
101.285,25.0881,T9283,南华县,0.1120000034570694,2020-01-01
100.8519,24.8875,T9286,南华县,0.08900000154972076,2020-01-01
101.27,25.3108,T9278,南华县,0.06800000369548798,2020-01-01
101.2192,25.1781,T9281,南华县,0.07100000232458115,2020-01-01
101.2617,25.2078,56767,南华县,0.1120000034570694,2020-01-01
101.9744,24.865,T9342,双柏县,0.08500000089406967,2020-01-01
101.9353,24.8008,T9327,双柏县,0.08900000154972076,2020-01-01
101.8528,24.8453,T9343,双柏县,0.09000000357627869,2020-01-01
101.8308,24.7592,T9328,双柏县,0.09600000083446503,2020-01-01
101.7494,24.7239,T9344,双柏县,0.08900000154972076,2020-01-01
101.7022,24.4003,T9355,双柏县,0.0990000031888485,2020-01-01
101.9297,24.3125,T9353,双柏县,0.09500000067055225,2020-01-01
101.7797,24.4686,T9354,双柏县,0.08100000023841858,2020-01-01
101.8556,24.3886,T9371,双柏县,0.1849999986588955,2020-01-01
101.7772,24.3039,T9336,双柏县,0.08300000429153442,2020-01-01
101.6575,24.7256,T9340,双柏县,0.07900000363588333,2020-01-01
101.6236,24.6614,T9337,双柏县,0.0820000022649765,2020-01-01
101.5072,24.6681,T9329,双柏县,0.07900000363588333,2020-01-01
101.6206,24.7756,T9339,双柏县,0.07900000363588333,2020-01-01
101.6325,24.6883,56862,双柏县,0.0820000022649765,2020-01-01
101.57,24.7689,T9326,双柏县,0.07300000637769699,2020-01-01
101.7203,24.7414,T9341,双柏县,0.08900000154972076,2020-01-01
101.9183,24.3744,T9352,双柏县,0.08800000697374344,2020-01-01
101.9572,24.4156,T9335,双柏县,0.08800000697374344,2020-01-01
101.7561,24.5875,T9349,双柏县,0.10200000554323196,2020-01-01
101.89,24.5339,T9348,双柏县,0.09400000423192978,2020-01-01
101.8322,24.5769,T9330,双柏县,0.20800000242888927,2020-01-01
101.8058,24.5444,T9345,双柏县,0.20800000242888927,2020-01-01
101.7381,24.5675,T9346,双柏县,0.10200000554323196,2020-01-01
101.5581,24.3056,T9332,双柏县,0.07700000703334808,2020-01-01
101.5633,24.4931,T9333,双柏县,0.07800000160932541,2020-01-01
101.5603,24.4928,T9382,双柏县,0.07800000160932541,2020-01-01
101.4636,24.5519,T9381,双柏县,0.0820000022649765,2020-01-01
101.4708,24.5572,T9331,双柏县,0.0820000022649765,2020-01-01
101.4331,24.5431,T9380,双柏县,0.0820000022649765,2020-01-01
101.2953,24.4072,T9376,双柏县,0.7859999760985374,2020-01-01
101.1942,24.4494,T9378,双柏县,0.09300000220537186,2020-01-01
101.3356,24.3389,T9377,双柏县,1.9929999839514494,2020-01-01
