Feature,Importance
cp,0.17300676844333665
thal,0.1401952636035627
ca,0.12102311825014365
thalach,0.11782261120648486
oldpeak,0.10450112189743757
age,0.07093690916668022
trestbps,0.060973444801864514
slope,0.05987464408612956
chol,0.054251983123174835
exang,0.04381904091402798
sex,0.029193917716615732
restecg,0.015013326458654483
fbs,0.009387850331887305
