date,health,temperature,humidity,light_intensity,soil_temperature,soil_humidity,co2,rain
2021/1/5 16:00,1,0,13,0,14,97,2309,1
2021/1/5 17:00,1,0,13,0,13,97,2393,1
2021/1/5 18:00,1,0,12,0,12,97,2479,1
2021/1/5 19:00,1,0,11,0,12,97,2543,1
2021/1/5 20:00,1,0,11,0,11,97,2614,1
2021/1/5 21:00,1,0,11,0,11,97,2664,1
2021/1/5 22:00,1,0,10,0,10,97,2700,1
2021/1/5 23:00,1,0,10,0,10,97,2691,1
2021/1/6 0:00,1,0,10,0,10,97,2740,1
2021/1/6 1:00,1,0,10,0,10,97,2754,1
2021/1/6 2:00,1,0,9,0,10,97,2761,1
2021/1/6 3:00,1,0,9,0,10,97,2764,1
2021/1/6 4:00,1,0,9,0,9,97,2771,1
2021/1/6 5:00,1,0,9,0,9,97,2778,1
2021/1/6 6:00,1,0,9,0,9,97,2761,1
2021/1/6 7:00,1,0,9,0,9,97,2767,1
2021/1/6 8:00,1,0,9,0,9,98,2788,1
2021/1/6 9:00,1,4409,11,44,10,96,2780,1
2021/1/6 10:00,1,14823,12,44,13,92,2483,1
2021/1/6 11:00,1,27134,16,46,23,82,2068,1
2021/1/6 12:00,1,30785,19,48,26,80,1825,1
2021/1/6 13:00,1,26929,21,49,29,78,1682,1
2021/1/6 14:00,1,0,0,0,0,0,0,1
2021/1/6 15:00,1,0,0,0,0,0,0,1
2021/1/6 16:00,1,0,0,0,0,0,0,1
2021/1/6 17:00,1,0,0,0,0,0,0,1
2021/1/6 18:00,1,0,16,46,14,96,1392,1
2021/1/6 19:00,1,0,16,46,13,97,1426,1
2021/1/6 20:00,1,0,15,46,13,97,680,1
2021/1/6 21:00,1,0,15,45,12,97,686,1
2021/1/6 22:00,1,0,14,45,12,97,687,1
2021/1/6 23:00,1,0,14,45,11,97,696,1
2021/1/7 0:00,1,0,14,45,11,97,686,1
2021/1/7 1:00,1,0,13,44,11,97,659,1
2021/1/7 2:00,1,0,13,44,10,97,634,1
2021/1/7 3:00,1,0,13,44,10,97,612,1
2021/1/7 4:00,1,0,13,44,10,97,590,1
2021/1/7 5:00,1,0,12,44,9,97,568,1
2021/1/7 6:00,1,0,12,44,9,97,550,1
2021/1/7 7:00,1,0,12,43,9,97,523,1
2021/1/7 8:00,1,0,12,43,9,97,502,1
2021/1/7 9:00,1,7152,12,43,10,97,469,1
2021/1/7 10:00,1,42851,15,45,22,78,398,1
2021/1/7 11:00,1,45259,19,47,29,70,395,1
2021/1/7 12:00,1,45401,23,49,31,67,395,1
2021/1/7 13:00,1,45542,25,51,32,67,395,1
2021/1/7 14:00,1,37950,26,51,30,68,395,1
2021/1/7 15:00,1,19032,25,50,24,77,405,1
2021/1/7 16:00,1,0,22,50,19,91,577,1
2021/1/7 17:00,1,0,20,50,17,93,744,1
2021/1/7 18:00,1,0,19,51,16,94,861,1
2021/1/7 19:00,1,0,18,51,15,94,950,1
2021/1/7 20:00,1,0,17,51,14,95,908,1
2021/1/7 21:00,1,0,16,51,13,95,942,1
2021/1/7 22:00,1,0,16,52,13,95,1002,1
2021/1/7 23:00,1,0,15,52,12,95,1058,1
2021/1/8 0:00,1,0,15,52,11,95,1121,1
2021/1/8 1:00,1,0,15,52,11,96,1163,1
2021/1/8 2:00,1,0,14,52,11,96,1191,1
2021/1/8 3:00,1,0,14,53,10,96,1216,1
2021/1/8 4:00,1,0,14,53,10,96,1242,1
2021/1/8 5:00,1,0,13,53,10,96,1258,1
2021/1/8 6:00,1,0,13,53,9,96,1271,1
2021/1/8 7:00,1,0,13,53,9,96,1290,1
2021/1/8 8:00,1,0,13,53,9,96,1266,1
2021/1/8 9:00,1,3873,13,54,11,96,1272,1
2021/1/8 10:00,1,41241,16,54,23,76,1073,1
2021/1/8 11:00,1,44285,20,53,31,67,834,1
2021/1/8 12:00,1,41030,24,52,35,64,701,1
2021/1/8 13:00,1,42398,26,52,35,64,589,1
2021/1/8 14:00,1,34676,27,51,32,67,530,1
2021/1/8 15:00,1,19423,25,50,27,75,516,1
2021/1/8 16:00,1,28,23,50,21,88,608,1
2021/1/8 17:00,1,0,21,50,19,92,761,1
2021/1/8 18:00,1,0,20,51,17,93,871,1
2021/1/8 19:00,1,0,19,51,16,93,961,1
2021/1/8 20:00,1,0,18,51,15,94,1046,1
2021/1/8 21:00,1,0,18,52,14,94,1125,1
2021/1/8 22:00,1,0,17,52,13,94,1177,1
2021/1/8 23:00,1,0,16,52,13,94,1220,1
2021/1/9 0:00,1,0,16,52,12,94,1255,1
2021/1/9 1:00,1,0,16,53,12,95,1283,1
2021/1/9 2:00,1,0,15,53,12,95,1302,1
2021/1/9 3:00,1,0,0,0,0,0,0,1
2021/1/9 4:00,1,0,0,0,0,0,0,1
2021/1/9 5:00,1,0,0,0,0,0,0,1
2021/1/9 6:00,1,0,0,0,0,0,0,1
2021/1/9 7:00,1,0,0,0,0,0,0,1
2021/1/9 8:00,1,0,0,0,0,0,0,1
2021/1/9 9:00,1,0,0,0,0,0,0,1
2021/1/9 10:00,1,0,0,0,0,0,0,1
