lon,lat,name,county,gpm,datetime
101.9222,25.7039,T9154,元谋县,0.810999987530522,2023-01-01
101.8717,25.7225,56763,元谋县,0.810999987530522,2023-01-01
101.8869,25.7436,T9456,元谋县,0.810999987530522,2023-01-01
101.8619,25.7044,T9457,元谋县,0.0,2023-01-01
101.9622,25.7042,T9159,元谋县,0.28100000123959035,2023-01-01
101.9717,25.7069,T9160,元谋县,0.28100000123959035,2023-01-01
101.9222,26.0764,T9151,元谋县,0.0,2023-01-01
101.7881,25.7558,T9156,元谋县,0.0,2023-01-01
101.7944,25.6922,T9473,元谋县,0.0,2023-01-01
101.7433,25.7689,T9474,元谋县,0.0,2023-01-01
101.6647,25.7069,T9463,元谋县,0.22999999299645424,2023-01-01
101.7111,25.6789,T9461,元谋县,0.0,2023-01-01
101.6811,25.6978,T9459,元谋县,0.22999999299645424,2023-01-01
101.6667,25.7153,T9157,元谋县,0.22999999299645424,2023-01-01
101.8756,25.9572,T9163,元谋县,0.0,2023-01-01
101.8811,25.9567,T9152,元谋县,0.0,2023-01-01
101.7494,25.8528,T9153,元谋县,0.0,2023-01-01
101.7861,25.9681,T9475,元谋县,0.0,2023-01-01
101.9364,25.4981,T9162,元谋县,0.0010000000474974513,2023-01-01
101.8964,25.6119,T9161,元谋县,0.0,2023-01-01
101.8664,25.6022,T9466,元谋县,0.0,2023-01-01
101.9233,25.575,T9472,元谋县,0.0,2023-01-01
101.8281,25.6339,T9467,元谋县,0.0,2023-01-01
101.8597,25.8164,T9155,元谋县,0.0,2023-01-01
101.8883,25.8614,T9458,元谋县,0.45099999371450394,2023-01-01
101.8936,25.7767,T9460,元谋县,0.810999987530522,2023-01-01
100.8422,25.19,T9573,南华县,0.0020000000949949026,2023-01-01
100.9581,25.1233,T9571,南华县,0.0020000000949949026,2023-01-01
100.9622,25.1172,T9279,南华县,0.0020000000949949026,2023-01-01
100.9211,25.2361,T9574,南华县,0.0020000000949949026,2023-01-01
101.0064,25.1544,T9280,南华县,0.0020000000949949026,2023-01-01
100.9886,25.2353,T9632,南华县,0.0020000000949949026,2023-01-01
100.8036,24.9744,T9285,南华县,0.0020000000949949026,2023-01-01
100.8047,24.7794,T9287,南华县,0.003000000026077032,2023-01-01
101.1433,25.2417,T9276,南华县,0.0010000000474974513,2023-01-01
101.144,25.242,T9634,南华县,0.0010000000474974513,2023-01-01
101.1431,25.2417,T9277,南华县,0.0010000000474974513,2023-01-01
101.0825,25.24,T9572,南华县,0.0010000000474974513,2023-01-01
100.8233,25.0364,T9284,南华县,0.0020000000949949026,2023-01-01
100.7656,25.1081,T9282,南华县,0.0020000000949949026,2023-01-01
101.285,25.0881,T9283,南华县,0.0010000000474974513,2023-01-01
100.8519,24.8875,T9286,南华县,0.0020000000949949026,2023-01-01
101.27,25.3108,T9278,南华县,0.0010000000474974513,2023-01-01
101.2192,25.1781,T9281,南华县,0.0010000000474974513,2023-01-01
101.2617,25.2078,56767,南华县,0.0010000000474974513,2023-01-01
101.9744,24.865,T9342,双柏县,0.0020000000949949026,2023-01-01
