假正率,真正率,阈值
0.0,0.0,inf
0.0,0.023809523809523808,0.9911135
0.0,0.47619047619047616,0.95304036
0.041666666666666664,0.47619047619047616,0.9416098
0.041666666666666664,0.7380952380952381,0.5473947
0.0625,0.7380952380952381,0.50892484
0.0625,0.8095238095238095,0.39656135
0.10416666666666667,0.8095238095238095,0.3331572
0.10416666666666667,0.8333333333333334,0.3312596
0.14583333333333334,0.8333333333333334,0.28513122
0.14583333333333334,0.8571428571428571,0.28486213
0.1875,0.8571428571428571,0.23715675
0.1875,0.8809523809523809,0.21837418
0.20833333333333334,0.8809523809523809,0.21166445
0.20833333333333334,0.9047619047619048,0.19842523
0.22916666666666666,0.9047619047619048,0.19622554
0.22916666666666666,0.9761904761904762,0.17156683
0.2708333333333333,0.9761904761904762,0.14358337
0.2708333333333333,1.0,0.14057794
1.0,1.0,0.087876976
