epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.7090070247650146,0.6052981019020081,0.5652173757553101,0.8222222328186035
2,0.6401480436325073,0.5625120401382446,0.6376811861991882,0.7666666507720947
3,0.6128087639808655,0.507805585861206,0.6908212304115295,0.8111110925674438
4,0.561514139175415,0.4574507772922516,0.7053139805793762,0.8222222328186035
5,0.5175420045852661,0.4029037356376648,0.7681159377098083,0.8777777552604675
6,0.49840807914733887,0.3646797239780426,0.7971014380455017,0.8777777552604675
7,0.484769731760025,0.33435866236686707,0.748792290687561,0.8999999761581421
8,0.4452080726623535,0.31406915187835693,0.8164251446723938,0.8999999761581421
9,0.46433815360069275,0.3315359354019165,0.8212560415267944,0.8666666746139526
10,0.4562009274959564,0.3466894030570984,0.8019323945045471,0.855555534362793
11,0.4317183792591095,0.34271904826164246,0.8260869383811951,0.8777777552604675
12,0.394892156124115,0.3098934292793274,0.8357487916946411,0.8888888955116272
13,0.39668041467666626,0.3311595618724823,0.8502415418624878,0.8888888955116272
14,0.33748194575309753,0.34279942512512207,0.8695651888847351,0.855555534362793
15,0.38697734475135803,0.3308786153793335,0.8695651888847351,0.8444444537162781
16,0.3906068205833435,0.34416431188583374,0.8599033951759338,0.8666666746139526
17,0.4393649995326996,0.36025622487068176,0.8502415418624878,0.8444444537162781
18,0.35659506916999817,0.3337276875972748,0.8743961453437805,0.8666666746139526
19,0.38201239705085754,0.2917741537094116,0.8792270421981812,0.8666666746139526
20,0.3829843997955322,0.33098843693733215,0.8599033951759338,0.855555534362793
21,0.3943367898464203,0.32858940958976746,0.8599033951759338,0.855555534362793
22,0.3451136350631714,0.37236928939819336,0.8888888955116272,0.8444444537162781
23,0.33499085903167725,0.36410224437713623,0.8888888955116272,0.8444444537162781
24,0.32201042771339417,0.3439042270183563,0.8888888955116272,0.8666666746139526
25,0.3617393374443054,0.35765278339385986,0.8985507488250732,0.8333333134651184
26,0.31068673729896545,0.3717540204524994,0.8937197923660278,0.8333333134651184
27,0.3046944737434387,0.40695875883102417,0.8888888955116272,0.8222222328186035
28,0.3139980137348175,0.37944310903549194,0.8840579986572266,0.8222222328186035
29,0.3423967957496643,0.3742353618144989,0.8743961453437805,0.8444444537162781
30,0.28421691060066223,0.3714374899864197,0.8985507488250732,0.8222222328186035
31,0.31332236528396606,0.41775330901145935,0.8937197923660278,0.8111110925674438
32,0.3042796850204468,0.37787118554115295,0.8888888955116272,0.8333333134651184
33,0.320161908864975,0.3873913586139679,0.8888888955116272,0.8222222328186035
34,0.2969992160797119,0.3692578673362732,0.9033816456794739,0.8444444537162781
35,0.30264484882354736,0.3940366208553314,0.9227052927017212,0.800000011920929
36,0.2903050482273102,0.3774057924747467,0.8985507488250732,0.8222222328186035
37,0.29641780257225037,0.37743860483169556,0.8985507488250732,0.8333333134651184
38,0.3072420060634613,0.37008699774742126,0.9033816456794739,0.855555534362793
39,0.26194480061531067,0.3812907040119171,0.9130434989929199,0.8222222328186035
