name,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
label,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
Phenylpyruvate1,10061.3181,11283.26908,9046.24224,7389.56625,9383.149286,4448.429143,9976.923021,9019.1395,7568.050421,12707.296,5253.004,13903.36581,13570.45074,7251.875313,6593.181148,8676.299273,11359.20933,1,5927.8625,10513.07658,12515.536,6362.849318,11766.99691,7912.357711,8287.357273,7053.288649,8724.001471,7556.1955,1,12443.0857,8874.68897,7421.812412,9791.011312,8796.079128,1,7002.781714,4485.1725,11633.60703,3160.671056,1,7912.941985,6492.805882,1,8359.520583,8870.609128,8267.063521,8693.52,6485.017885,9582.9552,7103.235132,6267.454231,5711.402475,1094.932727,1383.856941,1,1360.067923,1143.420219,2700.281143,1924.20875,3566.677441,337.59,4104.789699,1,3333.313273,2038.776214,2509.790453,3468.799911,1750.651328,3764.935,3257.3592,2580.6688,1,613.8968333,4289.294265,2383.548618,3657.031,1,3419.380575,671.6226774,4596.328577,3559.308837,3732.3405,4697.0586,2283.050847,28634.22519,7625.387,2467.267932,1,1,3056.9379,4288.146354,2619.939833,3469.427143,1,7340.9805,5271.892706,5901.38729,4530.324124,4684.351875,2981.098033
Phenylpyruvate2,7367.149185,8792.621,3251.729502,7004.1637,4501.313414,5058.838015,12235.89774,12646.18246,11218.79664,16106.99739,3844.651125,11257.64755,16544.4899,7120.977105,7912.900889,14102.6628,15310.9358,4233.201923,4925.918261,13779.5945,9574.47225,4347.168421,17695.64862,12175.33761,8845.560295,10130.27814,14762.01254,12859.16,11060.90128,13926.88208,17500.67234,8622.169043,11931.14352,11338.8775,10851.07613,8458.015364,10622.07409,14498.55523,5077.466731,7413.574658,8228.2296,9870.009143,19842.97468,16106.71097,13777.8413,18034.15025,13831.57558,13096.50808,12042.40837,13516.12464,9570.435313,3910.261516,3709.464137,1120.2345,2882.939746,1691.500846,1127.840598,3001.541941,1112.541018,2323.669292,6954.652,6857.88525,2126.159208,1853.132917,1080.6571,2033.1759,5319.883957,2073.3092,3971.1985,2829.456,2696.508615,2559.104846,924.1023051,3863.878103,3340.685694,3638.219711,4332.28554,2054.264291,4902.519,7633.711694,3148.451244,1679.302632,3689.670772,7344.027838,44026.72918,11758.56,2966.838045,3019.082695,1380.178308,3934.889031,3368.18061,3670.189746,3437.021797,1160.90625,7200.051158,7460.8365,5301.825239,3284.71,2884.484569,5984.997778
Phenylsulfate,17676.22645,4360.53506,50061.76098,25509.22797,5491.23952,182276.4543,78209.61875,14567.119,43622.722,9659.1908,78357.35702,237416.9976,5428.218214,2328.185306,6010.689643,283455.4576,6278.172579,1738779.157,22432.96938,180566.941,56927.40267,93409.64226,18100.58483,74350.10679,14829.4848,16344.73306,218424.7105,20055.26085,450784.3864,83289.24567,23482.76113,15471.70726,14576.13152,3805.516759,75325.13428,8006.749094,317067.8707,6266.730208,5305.090357,63072.21884,18469.82638,8247.932,11493.21558,10456.008,51032.3955,22009.81978,6764.546882,84390.06496,43802.64617,122952.9614,101066.8426,322456.7717,10989.24068,199507.0448,143605.7154,254066.6693,628817.322,9309.38582,463556.79,32980.461,168883.0683,152846.8409,309319.09,150045.5057,340842.8385,189848.0516,14145.5232,6485.220541,121010.4413,22520.4024,8448.583719,414493.8298,182067.913,45366.57133,105108.3778,41451.7931,8276.029667,21241.485,36206.49361,222671.7975,373480.4549,245546.7941,4357.269325,149932.5329,695793.474,24193.56256,445546.5842,13375.04593,117689.2756,13076.65938,117006.9391,94816.34902,201466.6094,96042.25218,316539.7054,47202.97936,51938.5545,752484.231,675822.3157,13325.66365
Phosphate,32441.66721,25735.91404,44778.102,28612.782,24850.95104,20119.7625,19996.79385,33209.81942,40324.34057,21594.87071,33087.68859,23137.62671,29929.632,25170.48,21180.75077,30424.91132,19860.10743,35270.51029,26816.74625,31775.7275,27436.6625,32338.55317,27941.42829,28822.09547,29499.03754,27482.68854,21004.825,63215.14283,39419.6072,19535.29132,19786.49475,25011.31575,36321.94893,30690.28832,21959.07886,18821.75719,28631.4644,26847.14169,18239.96845,32922.05081,23158.97675,27148.234,38772.66,59021.675,48486.95893,64951.61827,26919.48727,19854.22868,27637.01738,25339.29864,36163.97114,28468.78412,29457.37153,41718.45025,36942.0438,17904.95644,13229.39354,15320.355,22758.95448,21983.0433,32778.98544,36189.92605,31022.70822,23349.32749,25341.078,24003.14763,77939.59647,21858.739,8625.65855,26058.35886,36063.46717,27142.22276,1,21444.35436,27323.5789,15052.57788,27826.14636,26656.02577,33339.55689,26122.84453,16151.45385,35500.98767,36256.02729,103172.712,20579.892,28622.42916,28354.24353,23658.13534,20282.0646,13671.99222,11969.1393,64077.96694,78949.76539,26128.84733,48461.01,53648.01983,37088.82918,23069.30157,23089.14743,25338.41603
Phosphorylcholine,1,1,1,6574.748059,1,34981.7825,32895.85071,1,51988.92072,31372.54725,18991.88606,14262.83867,1,11275.9262,14783.55479,1,25189.12126,15169.67108,27184.84689,26828.0885,1,1,1,58395.94581,32337.03495,1,1,26021.79938,38410.2432,1,26738.68112,1,86848.10444,1,1,1,64573.79316,79113.37719,37719.1477,58608.4896,1,44580.31815,74593.80841,1,29298.228,1,1,104049.5418,26868.70453,1,101866.9195,54142.63384,129534.4257,52569.83845,1,129741.7919,81152.39871,87780.75551,81688.47891,33947.62273,1,41646.81813,83053.85262,1,1,60737.39048,1,1,1,35248.4964,1,66028.97698,65783.69687,54483.0082,48308.96271,53757.77275,78228.159,68177.05576,88552.45674,66664.11207,85848.48003,1,67005.69597,140728.3287,109649.0206,63519.72026,61248.79406,41882.9355,83914.87884,57497.57276,69351.22771,1,87007.22287,80570.43795,78998.48588,47674.78356,51251.4702,160818.3687,51819.49093,116344.2463
Pipecolic acid,20811.26667,17573.35862,17072.73368,20412.67243,35235.7634,54712.07585,24753.57012,1,60650.20196,39407.7385,46678.95344,28842.29333,46282.15423,50854.47953,20720.784,34329.31506,1,1,99493.74907,20761.216,71038.79431,35930.96592,87367.77458,18539.61633,1,44506.37172,46354.41671,41301.59395,35274.64627,1,1,22152.57969,16715.91371,1,47263.23525,45932.71746,69631.68397,47243.08736,26224.8615,39713.85643,64371.1769,25459.99521,33218.66538,79170.80634,45255.96718,33319.60376,64999.13662,34838.31653,76192.83328,17661.17571,34711.31196,23578.59881,60219.21857,36755.848,20724.30964,6343.840286,24414.99574,37599.24707,1,108569.6158,33360.92571,63495.59627,19663.54036,17035.72868,26199.50523,1,46809.87961,76712.47972,70799.35522,19737.75682,52084.8087,28589.03211,12137.89871,67146.32476,36945.49241,17663.7805,65478.51188,44491.51995,24540.80437,43600.89825,61202.69981,71072.20995,134102.8237,27018.84379,95310.53374,29149.0868,38524.9791,97631.02018,94320.6092,43158.6932,57177.92864,17663.09083,7733.323684,26180.29944,27135.11771,35224.03557,28760.124,38726.25621,29643.01631,26663.81267
Pregnanediol 3-O-glucuronide,17541.6248,5458.66225,20829.879,4483.364294,1674.051438,14244.12,1239.376013,2026.22,3996.119401,5341.579412,7336.52275,4787.82,2438.362,2299.434,7998.9055,5581.67595,3647.349,4847.831554,2011.281196,1390.055259,8542.528377,128264.6905,1196.65814,2932.243833,5298.277222,1381.358228,4480.973347,1949.557944,2932.817389,2718.993895,2789.564037,5169.288158,2405.725714,3820.3312,937.5177857,3153.963809,2380.97364,1340.445429,10763.81007,1573.990688,924.0099754,4610.066824,27245.6428,11378.1845,5697.654954,1538.38025,1813.378269,5320.696816,2048.326737,5682.620893,1081.796875,2247.089467,4589.311059,40356.823,49863.75644,30981.23978,27951.66267,24499.7865,56322.22112,13592.83125,11159.50111,9856.736842,99148.273,18004.80113,19432.116,10173.61406,4262.255535,21239.41206,2878.652778,21066.1365,6199.253211,30606.93818,110525.3776,6586.704,9958.226132,3209.481803,46672.24992,10606.31133,118085.0078,5402.789909,315822.823,35983.6136,4458.298789,13391.42857,21335.93668,4123.3389,141137.1696,13079.73343,47959.47,6295.47912,64092.8565,6493.940526,14792.95337,5353447.722,9584.094,37322.41533,4474.65997,11044.24479,13062.77044,4539.1604
Pregnenolone sulfate,37919.30029,62352.70682,63896.51533,42935.86022,13997.34938,20677.434,32939.79216,4599.614753,56544.71264,47481.41484,41486.2477,4440.915273,6502.971,11936.0087,14184.61566,80153.61608,15115.6145,2547.4449,27169.91956,33127.66985,8389.079167,9503.865,27530.5926,44817.50857,9177.104694,3372.985663,11250.1289,25312.833,8790.598727,71298.78583,14873.92367,70832.56985,20323.044,19715.43787,2035.030377,4418.215566,17518.72033,6666.763154,22830.59756,12413.7564,68672.5875,6591.547181,50684.90153,23148.0256,5506.583875,18369.60236,14112.44375,6418.856727,9509.094,7807.6845,4903.209364,73165.84577,4996.3432,35030.84105,50790.53583,41553.257,30979.707,17328.45653,33328.266,20276.4672,88341.2863,22942.31416,21449.34,9893.441477,20552.799,2366.660571,6976.37575,16805.5675,46593.1725,197509.3355,18557.63285,39607.92295,66873.882,141977.6557,12655.48876,32199.90295,60066.3492,59716.97296,129437.6328,21721.83229,38486.49239,31176.73635,51410.5165,47577.754,143846.4483,143775.8507,338581.9341,27532.2785,31570.37308,100395.0248,20476.10143,34254.415,13691.131,25256.83195,40327.0707,241248.8872,34040.75079,17839.72971,14893.725,5687.931
Prolylhydroxyproline,22971.84667,18911.14575,18248.64975,5869.169583,16789.98967,11062.5953,26855.72323,24650.09829,15207.02,1,14812.864,11333.1304,20083.10143,29519.74917,10255.6152,16259.46429,16022.301,42163.11604,27992.096,12821.0015,45347.05,19616.59639,16271.16925,15699.40083,22098.22083,22031.96683,10801.8395,11049.5625,7148.104,20416.41643,6227.6786,20857.05464,34103.04927,32776.085,15833.038,18544.08617,15310.53,24422.499,19845.425,9174.319167,15477.291,17857.12692,19269.2172,10803.898,6577.819778,16709.79429,21794.724,12672.42467,19792.1325,8953.470583,43339.48538,38067.41142,46340.65925,154819.1576,197628.804,177351.8604,13287.69455,149131.6802,74480.9697,25594.42844,83619.83551,152379.24,277804.432,37614.68042,9857.562462,8912.2336,9201.101667,21811.293,38426.07183,73636.8225,24465.2345,45807.08103,203645.7456,32859.18318,80836.77784,22003.444,30435.79469,103669.5572,58794.131,16685.38779,30213.42153,39687.4674,6056.82,10902.83944,79624.51516,13969.00368,136779.72,11219.48579,106906.065,122726.2866,6177.495417,7799.798028,12292.26625,48080.65263,29346.22355,50786.94841,9861.7736,23756.47359,23916.17655,21259.03026
Propionylcarnitine (Car(3:0)),12378.692,53984.64375,19384.50567,14983.26171,26914.40891,51395.89006,68681.39454,48769.01331,41400.546,40755.99125,28903.47333,73576.61487,38048.07808,19474.028,30538.77225,14480.13,29267.14592,28928.47729,18658.6837,31047.47822,43625.40873,76641.74818,40728.08996,17363.47993,57597.33583,12680.70257,56922.99733,19666.43175,61967.80005,76287.27155,59785.04636,25939.08571,1,8897.544,30630.24214,26323.084,41074.60335,31211.6758,11297.2985,27686.5605,43264.6685,63072.82767,11015.24983,12086.291,57559.70594,76013.31165,7073.0175,61357.0375,22040.7852,35909.58675,160043.9589,15457.6,66659.23687,10089.18733,77080.128,6067.51925,16097.6,83525.53688,11097.98333,25439.66571,52531.50069,37058.30933,30918.48545,15165.32667,30973.5975,89611.379,57579.71221,38283.51967,32453.73291,74374.38021,30189.26057,116032.9342,26683.5977,78249.188,49235.97252,46081.7775,90932.01647,56338.73438,66533.52259,23493.33257,42946.6495,101085.6489,50214.90656,82822.59821,132832.8678,36046.17957,30077.258,51640.968,25921.24971,101678.966,32024.5,35155.04014,1,7336.85625,57430.814,30084.075,41017.59538,74170.474,70425.10875,46321.70455
